Sr. No.,Symbol,Company Name
117,VAKRANGEE,VAKRANGEE LIMITED
118,PNB,PUNJAB NATIONAL BANK
119,LTI,LARSEN & TOUBRO INFOTECH LIMITED
120,CHOLAFIN,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED
121,PFC,POWER FINANCE CORPORATION LIMITED
122,IIFL,IIFL HOLDINGS LIMITED
123,3MINDIA,3M INDIA LIMITED
124,RAJESHEXPO,RAJESH EXPORTS LIMITED
125,EDELWEISS,EDELWEISS FINANCIAL SERVICES LIMITED
126,PNBHOUSING,PNB HOUSING FINANCE LIMITED
127,GILLETTE,GILLETTE INDIA LIMITED
128,TATAPOWER,TATA POWER COMPANY LIMITED
129,ADANITRANS,ADANI TRANSMISSION LIMITED
130,TORNTPHARM,TORRENT PHARMACEUTICALS LIMITED
131,GRUH,GRUH FINANCE LIMITED
132,BALKRISIND,BALKRISHNA INDUSTRIES LIMITED
133,VOLTAS,VOLTAS LIMITED
134,CASTROLIND,CASTROL INDIA LIMITED
135,JINDALSTEL,JINDAL STEEL & POWER LIMITED
136,RBLBANK,RBL BANK LIMITED
137,IGL,INDRAPRASTHA GAS LIMITED
138,CUMMINSIND,CUMMINS INDIA LIMITED
139,MRPL,MANGALORE REFINERY AND PETROCHEMICALS LIMITED
140,WHIRLPOOL,WHIRLPOOL OF INDIA LIMITED
141,IDBI,IDBI BANK LIMITED
142,EXIDEIND,EXIDE INDUSTRIES LIMITED
143,SUNDARMFIN,SUNDARAM FINANCE LIMITED
144,GODREJIND,GODREJ INDUSTRIES LIMITED
145,ENDURANCE,ENDURANCE TECHNOLOGIES LIMITED
146,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED
147,TATACOMM,TATA COMMUNICATIONS LIMITED
148,AUBANK,AU SMALL FINANCE BANK LIMITED
149,FEDERALBNK,THE FEDERAL BANK  LIMITED
150,OBEROIRLTY,OBEROI REALTY LIMITED
151,TATACHEM,TATA CHEMICALS LIMITED
152,RAMCOCEM,THE RAMCO CEMENTS LIMITED
153,ADANIENT,ADANI ENTERPRISES LIMITED
154,NBCC,NBCC (INDIA) LIMITED
155,TATAGLOBAL,TATA GLOBAL BEVERAGES LIMITED
156,MUTHOOTFIN,MUTHOOT FINANCE LIMITED
157,MPHASIS,MPHASIS LIMITED
158,IDFCBANK,IDFC BANK LIMITED
159,DHFL,DEWAN HOUSING FINANCE CORPORATION LIMITED
160,APOLLOTYRE,APOLLO TYRES LIMITED
161,CANBK,CANARA BANK
162,GODREJPROP,GODREJ PROPERTIES LIMITED
163,INDHOTEL,THE INDIAN HOTELS COMPANY LIMITED
164,COROMANDEL,COROMANDEL INTERNATIONAL LIMITED
165,JUBLFOOD,JUBILANT FOODWORKS LIMITED
166,BHARATFIN,BHARAT FINANCIAL INCLUSION LIMITED
167,SUPREMEIND,SUPREME INDUSTRIES LIMITED
168,RNAM,RELIANCE NIPPON LIFE ASSET MANAGEMENT LIMITED
169,WABCOINDIA,WABCO INDIA LIMITED
170,HONAUT,HONEYWELL AUTOMATION INDIA LIMITED
171,QUESS,QUESS CORP LIMITED
172,GLENMARK,GLENMARK PHARMACEUTICALS LIMITED
173,CROMPTON,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED
174,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LIMITED
175,MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LIMITED
176,INDIANB,INDIAN BANK
177,NAUKRI,INFO EDGE (INDIA) LIMITED
178,CENTRALBK,CENTRAL BANK OF INDIA
179,GRAPHITE,GRAPHITE INDIA LIMITED
180,SHRIRAMCIT,SHRIRAM CITY UNION FINANCE LIMITED
181,NLCINDIA,NLC INDIA LIMITED
182,KIOCL,KIOCL LIMITED
183,NATCOPHARM,NATCO PHARMA LIMITED
184,DBL,DILIP BUILDCON LIMITED
185,SJVN,SJVN LIMITED
186,AIAENG,AIA ENGINEERING LIMITED
187,AMARAJABAT,AMARA RAJA BATTERIES LIMITED
188,THERMAX,THERMAX LIMITED
189,CRISIL,CRISIL LIMITED
190,JUBILANT,JUBILANT LIFE SCIENCES LIMITED
191,HUDCO,HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED
192,NATIONALUM,NATIONAL ALUMINIUM COMPANY LIMITED
193,CESC,CESC LIMITED
194,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LIMITED
195,HEG,HEG LIMITED
196,MINDTREE,MINDTREE LIMITED
197,LTTS,L&T TECHNOLOGY SERVICES LIMITED
198,PCJEWELLER,PC JEWELLER LIMITED
199,RAIN,RAIN INDUSTRIES LIMITED
200,SYMPHONY,SYMPHONY LIMITED
201,STRTECH,STERLITE TECHNOLOGIES LIMITED
202,BANKINDIA,BANK OF INDIA
203,GODREJAGRO,GODREJ AGROVET LIMITED
204,AJANTPHARM,AJANTA PHARMA LIMITED
205,PIIND,PI INDUSTRIES LIMITED
206,TIFIN,TI FINANCIAL HOLDINGS LIMITED
207,MFSL,MAX FINANCIAL SERVICES LIMITED
208,SANOFI,SANOFI INDIA LIMITED
209,SYNGENE,SYNGENE INTERNATIONAL LIMITED
210,JSWENERGY,JSW ENERGY LIMITED
211,ABFRL,ADITYA BIRLA FASHION AND RETAIL LIMITED
212,SUNDRMFAST,SUNDRAM FASTENERS LIMITED
213,TV18BRDCST,TV18 BROADCAST LIMITED
214,VBL,VARUN BEVERAGES LIMITED
215,GUJGASLTD,GUJARAT GAS LIMITED
216,TRENT,TRENT LIMITED
217,CUB,CITY UNION BANK LIMITED
218,RELINFRA,RELIANCE INFRASTRUCTURE LIMITED
219,SRF,SRF LIMITED
220,HEXAWARE,HEXAWARE TECHNOLOGIES LIMITED
221,TORNTPOWER,TORRENT POWER LIMITED
222,ERIS,ERIS LIFESCIENCES LIMITED
223,PRESTIGE,PRESTIGE ESTATES PROJECTS LIMITED
224,JMFINANCIL,JM FINANCIAL LIMITED
225,IBVENTURES,INDIABULLS VENTURES LIMITED
226,ASTRAL,ASTRAL POLY TECHNIK LIMITED
227,RELCAPITAL,RELIANCE CAPITAL LIMITED
228,GSPL,GUJARAT STATE PETRONET LIMITED
229,HATSUN,HATSUN AGRO PRODUCT LIMITED
230,GET&D,GE T&D INDIA LIMITED
231,THOMASCOOK,THOMAS COOK  (INDIA)  LIMITED
232,APLLTD,ALEMBIC PHARMACEUTICALS LIMITED
233,FINCABLES,FINOLEX CABLES LIMITED
234,KRBL,KRBL LIMITED
235,GMRINFRA,GMR INFRASTRUCTURE LIMITED
236,AVANTIFEED,AVANTI FEEDS LIMITED
237,RPOWER,RELIANCE POWER LIMITED
238,FCONSUMER,FUTURE CONSUMER LIMITED
239,ESCORTS,ESCORTS LIMITED
240,KEC,KEC INTERNATIONAL LIMITED
241,ENGINERSIN,ENGINEERS INDIA LIMITED
242,PFIZER,PFIZER LIMITED
243,ARVIND,ARVIND LIMITED
244,SUNCLAYLTD,SUNDARAM CLAYTON LIMITED
245,SOLARINDS,SOLAR INDUSTRIES INDIA LIMITED
246,MGL,MAHANAGAR GAS LIMITED
247,VGUARD,V-GUARD INDUSTRIES LIMITED
248,AARTIIND,AARTI INDUSTRIES LIMITED
249,BATAINDIA,BATA INDIA LIMITED
250,SPARC,SUN PHARMA ADVANCED RESEARCH COMPANY LIMITED
251,MINDAIND,MINDA INDUSTRIES LIMITED
252,MANAPPURAM,MANAPPURAM FINANCE LIMITED
253,ADANIPOWER,ADANI POWER LIMITED
254,KAJARIACER,KAJARIA CERAMICS LIMITED
255,EIHOTEL,EIH LIMITED
256,PHOENIXLTD,THE PHOENIX MILLS LIMITED
257,SKFINDIA,SKF INDIA LIMITED
258,BLUEDART,BLUE DART EXPRESS LIMITED
259,GUJFLUORO,GUJARAT FLUOROCHEMICALS LIMITED
260,AEGISCHEM,AEGIS LOGISTICS LIMITED
261,SCHAEFFLER,SCHAEFFLER INDIA LIMITED
262,IBREALEST,INDIABULLS REAL ESTATE LIMITED
263,ASTERDM,ASTER DM HEALTHCARE LIMITED
264,AKZOINDIA,AKZO NOBEL INDIA LIMITED
265,BASF,BASF INDIA LIMITED
266,IPCALAB,IPCA LABORATORIES LIMITED
267,SIS,SECURITY AND INTELLIGENCE SERVICES (INDIA) LIMITED
268,FINPIPE,FINOLEX INDUSTRIES LIMITED
269,BBTC,BOMBAY BURMAH TRADING CORPORATION LIMITED
270,MAHINDCIE,MAHINDRA CIE AUTOMOTIVE LIMITED
